167,La Orotava ,41.726,S. C. de Tenerife ,Flag of the Canary Islands.svg Canarias,28.3913534,-16.5238744
168,Alcantarilla ,41.381,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,37.9695167,-1.2193422
169,San Fernando de Henares ,41.376,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4256038,-3.5318722
170,Puerto Real ,41.364,Cádiz ,Flag of Andalucía.svg Andalucía,36.5316485,-6.1831947
171,Tres Cantos ,41.302,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.600727,-3.7079745
172,Rincón de la Victoria ,41.216,Málaga ,Flag of Andalucía.svg Andalucía,36.7176779,-4.280396
173,Vich ,41.191,Barcelona ,Flag of Catalonia.svg Cataluña,41.9304373,2.2544335
174,Plasencia ,41.002,Cáceres ,Flag of Extremadura (with coat of arms).svg Extremadura,40.04209549999999,-6.0838065
175,Lloret de Mar ,40.837,Gerona ,Flag of Catalonia.svg Cataluña,41.7005989,2.8398194
176,Manacor ,40.831,Islas Baleares ,Flag of the Balearic Islands.svg Islas Baleares,39.5697165,3.2095318
177,Écija ,40.683,Sevilla ,Flag of Andalucía.svg Andalucía,37.5414656,-5.0826742
178,Soria ,40.147,Soria ,Flag of Castile and León.svg Castilla y León,41.7665972,-2.4790306
179,Blanes ,39.785,Gerona ,Flag of Catalonia.svg Cataluña,41.6759954,2.7902289
180,Rentería ,39.324,Guipúzcoa ,Flag of the Basque Country.svg País Vasco,43.3081107,-1.8912823
181,Narón ,39.238,La Coruña ,Flag of Galicia.svg Galicia,43.5012892,-8.192374299999999
182,Igualada ,39.198,Barcelona ,Flag of Catalonia.svg Cataluña,41.5847817,1.6226538
183,Tomelloso ,39.093,Ciudad Real ,Flag of Castile-La Mancha.svg Castilla-La Mancha,39.15837450000001,-3.0214475
184,Villafranca del Panadés ,39.035,Barcelona ,Flag of Catalonia.svg Cataluña,41.3461265,1.6979398
185,Andújar ,39.008,Jaén ,Flag of Andalucía.svg Andalucía,38.03849,-4.0516619
186,Miranda de Ebro ,38.4,Burgos ,Flag of Castile and León.svg Castilla y León,42.6869753,-2.945068
187,Burjasot ,38.175,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.5096699,-0.4135963
188,Los Realejos ,38.028,S. C. de Tenerife ,Flag of the Canary Islands (simple).svg Canarias,28.3854734,-16.5841956
189,Los Palacios y Villafranca ,37.741,Sevilla ,Flag of Andalucía.svg Andalucía,37.1584636,-5.9244808
190,Villagarcía de Arosa ,37.621,Pontevedra ,Flag of Galicia.svg Galicia,42.5953513,-8.7659082
191,La Rinconada ,37.58,Sevilla ,Flag of Andalucía.svg Andalucía,37.4872681,-5.9816424
192,Onteniente ,37.54,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.8220593,-0.6063927
193,Ripollet ,37.348,Barcelona ,Flag of Catalonia.svg Cataluña,41.49845,2.1569325
194,Lluchmayor ,36.959,Islas Baleares ,Flag of the Balearic Islands.svg Islas Baleares,39.49084390000001,2.8916657
195,Arucas ,36.872,Las Palmas ,Flag of the Canary Islands (simple).svg Canarias,28.1201412,-15.5210607
196,Ronda ,36.793,Málaga ,Flag of Andalucía.svg Andalucía,36.746209,-5.161225099999999
197,Alhaurín de la Torre ,36.73,Málaga ,Flag of Andalucía.svg Andalucía,36.6598945,-4.5598636
198,Don Benito ,36.48,Badajoz ,Flag of Extremadura (with coat of arms).svg Extremadura,38.954463,-5.8618982
199,Vendrell ,36.453,Tarragona ,Flag of Catalonia.svg Cataluña,41.2006621,1.5111806
200,Úbeda ,35.866,Jaén ,Flag of Andalucía.svg Andalucía,38.0114236,-3.3712457
201,Puerto del Rosario ,35.664,Las Palmas ,Flag of the Canary Islands (simple).svg Canarias,28.500821,-13.8628367
202,Mazarrón ,35.473,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,37.5958175,-1.3147353
203,Burriana ,35.433,Castellón ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.8895925,-0.0848302
204,Tudela ,35.429,Comunidad Foral de Navarra ,Navarra,42.0613816,-1.6063169
205,Cieza ,35.425,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,38.2420912,-1.4217274
206,Teruel ,35.288,Teruel ,Flag of Aragon.svg Aragón,40.3456879,-1.1064345
207,Águilas ,34.99,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,37.4117554,-1.5827678
208,Villena ,34.966,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.6318196,-0.8612206
209,Yecla ,34.813,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,38.6122134,-1.110112
210,Petrel ,34.726,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.4807333,-0.7719037
