Villefontaine,18168
Royan,18138
Sedan,18134
Chennevières-sur-Marne,18134
Joinville-le-Pont,18124
Saint-Cyr-l'École,18089
Ploemeur,18039
Marmande,18028
Louviers,18023
Verdun,17923
Le Pré-Saint-Gervais,17908
Avion,17876
Castelnau-le-Lez,17837
Écully,17787
Garches,17769
Les Clayes-sous-Bois,17735
Chamalières,17733
Soisy-sous-Montmorency,17637
Cluses,17627
Saint-Fons,17584
Moissy-Cramayel,17500
Faches-Thumesnil,17497
Meylan,17493
Cran-Gevrier,17493
Vitré,17463
Lingolsheim,17450
Bischheim,17432
Pontarlier,17398
Le Pontet,17344
Elbeuf,17343
Port-de-Bouc,17208
Équeurdreville-Hainneville,17175
Montereau-Fault-Yonne,17173
Plaisance-du-Touch,17126
Vendôme,17121
Firminy,17066
Lons-le-Saunier,17063
Bruges,16954
Romorantin-Lanthenay,16891
Hendaye,16887
Carvin,16873
Bruz,16855
Cesson-Sévigné,16784
Éragny,16704
Mauguio,16659
Saint-Amand-les-Eaux,16653
Bonneuil-sur-Marne,16642
Cugnaux,16638
La Crau,16612
Floirac,16531
Brie-Comte-Robert,16529
Digne-les-Bains,16512
Saint-Jean-de-la-Ruelle,16488
Marly-le-Roi,16485
Brignoles,16450
Osny,16441
Cestas,16438
Gentilly,16427
Bry-sur-Marne,16423
Boissy-Saint-Léger,16399
Jouy-le-Moutier,16300
Saint-Cyr-sur-Loire,16239
Le Pecq,16237
L'Isle-d'Abeau,16225
Montivilliers,16198
Orsay,16153
Lucé,16149
Toul,16128
Saint-Avold,16126
Annonay,16075
Sanary-sur-Mer,16047
Limay,16040
Beaucaire,16036
Saint-Égrève,15996
Bar-le-Duc,15950
Les Herbiers,15933
Tourlaville,15902
Yutz,15898
Guérande,15858
Sallanches,15853
Le Vésinet,15847
Hayange,15833
Sin-le-Noble,15825
Fos-sur-Mer,15814
Châteaurenard,15780
Hennebont,15765
Lattes,15748
Pamiers,15744
Viroflay,15734
Verrières-le-Buisson,15709
Le Bourget,15708
Vauréal,15705
Montbrison,15673
Noisiel,15638
Saint-Maximin-la-Sainte-Baume,15590
Senlis,15583
Juvisy-sur-Orge,15545
Vesoul,15473
La Baule-Escoublac,15456
Saran,15449
Landerneau,15443
Saint-Pierre-des-Corps,15404
Domont,15339
Blanquefort,15297
Morlaix,15264
Carrières-sur-Seine,15205
